date_id,date,year,month,month_name,quarter
1,2022-01-01,2022,1,January,Q1
2,2022-01-02,2022,1,January,Q1
3,2022-01-03,2022,1,January,Q1
4,2022-01-04,2022,1,January,Q1
5,2022-01-05,2022,1,January,Q1
6,2022-01-06,2022,1,January,Q1
7,2022-01-07,2022,1,January,Q1
8,2022-01-08,2022,1,January,Q1
9,2022-01-09,2022,1,January,Q1
10,2022-01-10,2022,1,January,Q1
11,2022-01-11,2022,1,January,Q1
12,2022-01-12,2022,1,January,Q1
13,2022-01-13,2022,1,January,Q1
14,2022-01-14,2022,1,January,Q1
15,2022-01-15,2022,1,January,Q1
16,2022-01-16,2022,1,January,Q1
17,2022-01-17,2022,1,January,Q1
18,2022-01-18,2022,1,January,Q1
19,2022-01-19,2022,1,January,Q1
20,2022-01-20,2022,1,January,Q1
21,2022-01-21,2022,1,January,Q1
22,2022-01-22,2022,1,January,Q1
23,2022-01-23,2022,1,January,Q1
24,2022-01-24,2022,1,January,Q1
25,2022-01-25,2022,1,January,Q1
26,2022-01-26,2022,1,January,Q1
27,2022-01-27,2022,1,January,Q1
28,2022-01-28,2022,1,January,Q1
29,2022-01-29,2022,1,January,Q1
30,2022-01-30,2022,1,January,Q1
31,2022-01-31,2022,1,January,Q1
32,2022-02-01,2022,2,February,Q1
33,2022-02-02,2022,2,February,Q1
34,2022-02-03,2022,2,February,Q1
35,2022-02-04,2022,2,February,Q1
36,2022-02-05,2022,2,February,Q1
37,2022-02-06,2022,2,February,Q1
38,2022-02-07,2022,2,February,Q1
39,2022-02-08,2022,2,February,Q1
40,2022-02-09,2022,2,February,Q1
41,2022-02-10,2022,2,February,Q1
42,2022-02-11,2022,2,February,Q1
43,2022-02-12,2022,2,February,Q1
44,2022-02-13,2022,2,February,Q1
45,2022-02-14,2022,2,February,Q1
46,2022-02-15,2022,2,February,Q1
47,2022-02-16,2022,2,February,Q1
48,2022-02-17,2022,2,February,Q1
49,2022-02-18,2022,2,February,Q1
50,2022-02-19,2022,2,February,Q1
51,2022-02-20,2022,2,February,Q1
52,2022-02-21,2022,2,February,Q1
53,2022-02-22,2022,2,February,Q1
54,2022-02-23,2022,2,February,Q1
55,2022-02-24,2022,2,February,Q1
56,2022-02-25,2022,2,February,Q1
57,2022-02-26,2022,2,February,Q1
58,2022-02-27,2022,2,February,Q1
59,2022-02-28,2022,2,February,Q1
60,2022-03-01,2022,3,March,Q1
61,2022-03-02,2022,3,March,Q1
62,2022-03-03,2022,3,March,Q1
63,2022-03-04,2022,3,March,Q1
64,2022-03-05,2022,3,March,Q1
65,2022-03-06,2022,3,March,Q1
66,2022-03-07,2022,3,March,Q1
67,2022-03-08,2022,3,March,Q1
68,2022-03-09,2022,3,March,Q1
69,2022-03-10,2022,3,March,Q1
70,2022-03-11,2022,3,March,Q1
71,2022-03-12,2022,3,March,Q1
72,2022-03-13,2022,3,March,Q1
73,2022-03-14,2022,3,March,Q1
74,2022-03-15,2022,3,March,Q1
75,2022-03-16,2022,3,March,Q1
76,2022-03-17,2022,3,March,Q1
77,2022-03-18,2022,3,March,Q1
78,2022-03-19,2022,3,March,Q1
79,2022-03-20,2022,3,March,Q1
80,2022-03-21,2022,3,March,Q1
81,2022-03-22,2022,3,March,Q1
82,2022-03-23,2022,3,March,Q1
83,2022-03-24,2022,3,March,Q1
84,2022-03-25,2022,3,March,Q1
85,2022-03-26,2022,3,March,Q1
86,2022-03-27,2022,3,March,Q1
87,2022-03-28,2022,3,March,Q1
88,2022-03-29,2022,3,March,Q1
89,2022-03-30,2022,3,March,Q1
90,2022-03-31,2022,3,March,Q1
91,2022-04-01,2022,4,April,Q2
92,2022-04-02,2022,4,April,Q2
93,2022-04-03,2022,4,April,Q2
94,2022-04-04,2022,4,April,Q2
95,2022-04-05,2022,4,April,Q2
96,2022-04-06,2022,4,April,Q2
97,2022-04-07,2022,4,April,Q2
98,2022-04-08,2022,4,April,Q2
99,2022-04-09,2022,4,April,Q2
100,2022-04-10,2022,4,April,Q2
101,2022-04-11,2022,4,April,Q2
102,2022-04-12,2022,4,April,Q2
103,2022-04-13,2022,4,April,Q2
104,2022-04-14,2022,4,April,Q2
105,2022-04-15,2022,4,April,Q2
106,2022-04-16,2022,4,April,Q2
107,2022-04-17,2022,4,April,Q2
108,2022-04-18,2022,4,April,Q2
109,2022-04-19,2022,4,April,Q2
110,2022-04-20,2022,4,April,Q2
111,2022-04-21,2022,4,April,Q2
112,2022-04-22,2022,4,April,Q2
113,2022-04-23,2022,4,April,Q2
114,2022-04-24,2022,4,April,Q2
115,2022-04-25,2022,4,April,Q2
116,2022-04-26,2022,4,April,Q2
117,2022-04-27,2022,4,April,Q2
118,2022-04-28,2022,4,April,Q2
119,2022-04-29,2022,4,April,Q2
120,2022-04-30,2022,4,April,Q2
121,2022-05-01,2022,5,May,Q2
122,2022-05-02,2022,5,May,Q2
123,2022-05-03,2022,5,May,Q2
124,2022-05-04,2022,5,May,Q2
125,2022-05-05,2022,5,May,Q2
126,2022-05-06,2022,5,May,Q2
127,2022-05-07,2022,5,May,Q2
128,2022-05-08,2022,5,May,Q2
129,2022-05-09,2022,5,May,Q2
130,2022-05-10,2022,5,May,Q2
131,2022-05-11,2022,5,May,Q2
132,2022-05-12,2022,5,May,Q2
133,2022-05-13,2022,5,May,Q2
134,2022-05-14,2022,5,May,Q2
135,2022-05-15,2022,5,May,Q2
136,2022-05-16,2022,5,May,Q2
137,2022-05-17,2022,5,May,Q2
138,2022-05-18,2022,5,May,Q2
139,2022-05-19,2022,5,May,Q2
140,2022-05-20,2022,5,May,Q2
141,2022-05-21,2022,5,May,Q2
142,2022-05-22,2022,5,May,Q2
143,2022-05-23,2022,5,May,Q2
144,2022-05-24,2022,5,May,Q2
145,2022-05-25,2022,5,May,Q2
146,2022-05-26,2022,5,May,Q2
147,2022-05-27,2022,5,May,Q2
148,2022-05-28,2022,5,May,Q2
149,2022-05-29,2022,5,May,Q2
150,2022-05-30,2022,5,May,Q2
151,2022-05-31,2022,5,May,Q2
152,2022-06-01,2022,6,June,Q2
153,2022-06-02,2022,6,June,Q2
154,2022-06-03,2022,6,June,Q2
155,2022-06-04,2022,6,June,Q2
156,2022-06-05,2022,6,June,Q2
157,2022-06-06,2022,6,June,Q2
158,2022-06-07,2022,6,June,Q2
159,2022-06-08,2022,6,June,Q2
160,2022-06-09,2022,6,June,Q2
161,2022-06-10,2022,6,June,Q2
162,2022-06-11,2022,6,June,Q2
163,2022-06-12,2022,6,June,Q2
164,2022-06-13,2022,6,June,Q2
165,2022-06-14,2022,6,June,Q2
166,2022-06-15,2022,6,June,Q2
167,2022-06-16,2022,6,June,Q2
168,2022-06-17,2022,6,June,Q2
169,2022-06-18,2022,6,June,Q2
170,2022-06-19,2022,6,June,Q2
171,2022-06-20,2022,6,June,Q2
172,2022-06-21,2022,6,June,Q2
173,2022-06-22,2022,6,June,Q2
174,2022-06-23,2022,6,June,Q2
175,2022-06-24,2022,6,June,Q2
176,2022-06-25,2022,6,June,Q2
177,2022-06-26,2022,6,June,Q2
178,2022-06-27,2022,6,June,Q2
179,2022-06-28,2022,6,June,Q2
180,2022-06-29,2022,6,June,Q2
181,2022-06-30,2022,6,June,Q2
182,2022-07-01,2022,7,July,Q3
183,2022-07-02,2022,7,July,Q3
184,2022-07-03,2022,7,July,Q3
185,2022-07-04,2022,7,July,Q3
186,2022-07-05,2022,7,July,Q3
187,2022-07-06,2022,7,July,Q3
188,2022-07-07,2022,7,July,Q3
189,2022-07-08,2022,7,July,Q3
190,2022-07-09,2022,7,July,Q3
191,2022-07-10,2022,7,July,Q3
192,2022-07-11,2022,7,July,Q3
193,2022-07-12,2022,7,July,Q3
194,2022-07-13,2022,7,July,Q3
195,2022-07-14,2022,7,July,Q3
196,2022-07-15,2022,7,July,Q3
197,2022-07-16,2022,7,July,Q3
198,2022-07-17,2022,7,July,Q3
199,2022-07-18,2022,7,July,Q3
200,2022-07-19,2022,7,July,Q3
201,2022-07-20,2022,7,July,Q3
202,2022-07-21,2022,7,July,Q3
203,2022-07-22,2022,7,July,Q3
204,2022-07-23,2022,7,July,Q3
205,2022-07-24,2022,7,July,Q3
206,2022-07-25,2022,7,July,Q3
207,2022-07-26,2022,7,July,Q3
208,2022-07-27,2022,7,July,Q3
209,2022-07-28,2022,7,July,Q3
210,2022-07-29,2022,7,July,Q3
211,2022-07-30,2022,7,July,Q3
212,2022-07-31,2022,7,July,Q3
213,2022-08-01,2022,8,August,Q3
214,2022-08-02,2022,8,August,Q3
215,2022-08-03,2022,8,August,Q3
216,2022-08-04,2022,8,August,Q3
217,2022-08-05,2022,8,August,Q3
218,2022-08-06,2022,8,August,Q3
219,2022-08-07,2022,8,August,Q3
220,2022-08-08,2022,8,August,Q3
221,2022-08-09,2022,8,August,Q3
222,2022-08-10,2022,8,August,Q3
223,2022-08-11,2022,8,August,Q3
224,2022-08-12,2022,8,August,Q3
225,2022-08-13,2022,8,August,Q3
226,2022-08-14,2022,8,August,Q3
227,2022-08-15,2022,8,August,Q3
228,2022-08-16,2022,8,August,Q3
229,2022-08-17,2022,8,August,Q3
230,2022-08-18,2022,8,August,Q3
231,2022-08-19,2022,8,August,Q3
232,2022-08-20,2022,8,August,Q3
233,2022-08-21,2022,8,August,Q3
234,2022-08-22,2022,8,August,Q3
235,2022-08-23,2022,8,August,Q3
236,2022-08-24,2022,8,August,Q3
237,2022-08-25,2022,8,August,Q3
238,2022-08-26,2022,8,August,Q3
239,2022-08-27,2022,8,August,Q3
240,2022-08-28,2022,8,August,Q3
241,2022-08-29,2022,8,August,Q3
242,2022-08-30,2022,8,August,Q3
243,2022-08-31,2022,8,August,Q3
244,2022-09-01,2022,9,September,Q3
245,2022-09-02,2022,9,September,Q3
246,2022-09-03,2022,9,September,Q3
247,2022-09-04,2022,9,September,Q3
248,2022-09-05,2022,9,September,Q3
249,2022-09-06,2022,9,September,Q3
250,2022-09-07,2022,9,September,Q3
251,2022-09-08,2022,9,September,Q3
252,2022-09-09,2022,9,September,Q3
253,2022-09-10,2022,9,September,Q3
254,2022-09-11,2022,9,September,Q3
255,2022-09-12,2022,9,September,Q3
256,2022-09-13,2022,9,September,Q3
257,2022-09-14,2022,9,September,Q3
258,2022-09-15,2022,9,September,Q3
259,2022-09-16,2022,9,September,Q3
260,2022-09-17,2022,9,September,Q3
261,2022-09-18,2022,9,September,Q3
262,2022-09-19,2022,9,September,Q3
263,2022-09-20,2022,9,September,Q3
264,2022-09-21,2022,9,September,Q3
265,2022-09-22,2022,9,September,Q3
266,2022-09-23,2022,9,September,Q3
267,2022-09-24,2022,9,September,Q3
268,2022-09-25,2022,9,September,Q3
269,2022-09-26,2022,9,September,Q3
270,2022-09-27,2022,9,September,Q3
271,2022-09-28,2022,9,September,Q3
272,2022-09-29,2022,9,September,Q3
273,2022-09-30,2022,9,September,Q3
274,2022-10-01,2022,10,October,Q4
275,2022-10-02,2022,10,October,Q4
276,2022-10-03,2022,10,October,Q4
277,2022-10-04,2022,10,October,Q4
278,2022-10-05,2022,10,October,Q4
279,2022-10-06,2022,10,October,Q4
280,2022-10-07,2022,10,October,Q4
281,2022-10-08,2022,10,October,Q4
282,2022-10-09,2022,10,October,Q4
283,2022-10-10,2022,10,October,Q4
284,2022-10-11,2022,10,October,Q4
285,2022-10-12,2022,10,October,Q4
286,2022-10-13,2022,10,October,Q4
287,2022-10-14,2022,10,October,Q4
288,2022-10-15,2022,10,October,Q4
289,2022-10-16,2022,10,October,Q4
290,2022-10-17,2022,10,October,Q4
291,2022-10-18,2022,10,October,Q4
292,2022-10-19,2022,10,October,Q4
293,2022-10-20,2022,10,October,Q4
294,2022-10-21,2022,10,October,Q4
295,2022-10-22,2022,10,October,Q4
296,2022-10-23,2022,10,October,Q4
297,2022-10-24,2022,10,October,Q4
298,2022-10-25,2022,10,October,Q4
299,2022-10-26,2022,10,October,Q4
300,2022-10-27,2022,10,October,Q4
301,2022-10-28,2022,10,October,Q4
302,2022-10-29,2022,10,October,Q4
303,2022-10-30,2022,10,October,Q4
304,2022-10-31,2022,10,October,Q4
305,2022-11-01,2022,11,November,Q4
306,2022-11-02,2022,11,November,Q4
307,2022-11-03,2022,11,November,Q4
308,2022-11-04,2022,11,November,Q4
309,2022-11-05,2022,11,November,Q4
310,2022-11-06,2022,11,November,Q4
311,2022-11-07,2022,11,November,Q4
312,2022-11-08,2022,11,November,Q4
313,2022-11-09,2022,11,November,Q4
314,2022-11-10,2022,11,November,Q4
315,2022-11-11,2022,11,November,Q4
316,2022-11-12,2022,11,November,Q4
317,2022-11-13,2022,11,November,Q4
318,2022-11-14,2022,11,November,Q4
319,2022-11-15,2022,11,November,Q4
320,2022-11-16,2022,11,November,Q4
321,2022-11-17,2022,11,November,Q4
322,2022-11-18,2022,11,November,Q4
323,2022-11-19,2022,11,November,Q4
324,2022-11-20,2022,11,November,Q4
325,2022-11-21,2022,11,November,Q4
326,2022-11-22,2022,11,November,Q4
327,2022-11-23,2022,11,November,Q4
328,2022-11-24,2022,11,November,Q4
329,2022-11-25,2022,11,November,Q4
330,2022-11-26,2022,11,November,Q4
331,2022-11-27,2022,11,November,Q4
332,2022-11-28,2022,11,November,Q4
333,2022-11-29,2022,11,November,Q4
334,2022-11-30,2022,11,November,Q4
335,2022-12-01,2022,12,December,Q4
336,2022-12-02,2022,12,December,Q4
337,2022-12-03,2022,12,December,Q4
338,2022-12-04,2022,12,December,Q4
339,2022-12-05,2022,12,December,Q4
340,2022-12-06,2022,12,December,Q4
341,2022-12-07,2022,12,December,Q4
342,2022-12-08,2022,12,December,Q4
343,2022-12-09,2022,12,December,Q4
344,2022-12-10,2022,12,December,Q4
345,2022-12-11,2022,12,December,Q4
346,2022-12-12,2022,12,December,Q4
347,2022-12-13,2022,12,December,Q4
348,2022-12-14,2022,12,December,Q4
349,2022-12-15,2022,12,December,Q4
350,2022-12-16,2022,12,December,Q4
351,2022-12-17,2022,12,December,Q4
352,2022-12-18,2022,12,December,Q4
353,2022-12-19,2022,12,December,Q4
354,2022-12-20,2022,12,December,Q4
355,2022-12-21,2022,12,December,Q4
356,2022-12-22,2022,12,December,Q4
357,2022-12-23,2022,12,December,Q4
358,2022-12-24,2022,12,December,Q4
359,2022-12-25,2022,12,December,Q4
360,2022-12-26,2022,12,December,Q4
361,2022-12-27,2022,12,December,Q4
362,2022-12-28,2022,12,December,Q4
363,2022-12-29,2022,12,December,Q4
364,2022-12-30,2022,12,December,Q4
365,2022-12-31,2022,12,December,Q4
366,2023-01-01,2023,1,January,Q1
367,2023-01-02,2023,1,January,Q1
368,2023-01-03,2023,1,January,Q1
369,2023-01-04,2023,1,January,Q1
370,2023-01-05,2023,1,January,Q1
371,2023-01-06,2023,1,January,Q1
372,2023-01-07,2023,1,January,Q1
373,2023-01-08,2023,1,January,Q1
374,2023-01-09,2023,1,January,Q1
375,2023-01-10,2023,1,January,Q1
376,2023-01-11,2023,1,January,Q1
377,2023-01-12,2023,1,January,Q1
378,2023-01-13,2023,1,January,Q1
379,2023-01-14,2023,1,January,Q1
380,2023-01-15,2023,1,January,Q1
381,2023-01-16,2023,1,January,Q1
382,2023-01-17,2023,1,January,Q1
383,2023-01-18,2023,1,January,Q1
384,2023-01-19,2023,1,January,Q1
385,2023-01-20,2023,1,January,Q1
386,2023-01-21,2023,1,January,Q1
387,2023-01-22,2023,1,January,Q1
388,2023-01-23,2023,1,January,Q1
389,2023-01-24,2023,1,January,Q1
390,2023-01-25,2023,1,January,Q1
391,2023-01-26,2023,1,January,Q1
392,2023-01-27,2023,1,January,Q1
393,2023-01-28,2023,1,January,Q1
394,2023-01-29,2023,1,January,Q1
395,2023-01-30,2023,1,January,Q1
396,2023-01-31,2023,1,January,Q1
397,2023-02-01,2023,2,February,Q1
398,2023-02-02,2023,2,February,Q1
399,2023-02-03,2023,2,February,Q1
400,2023-02-04,2023,2,February,Q1
401,2023-02-05,2023,2,February,Q1
402,2023-02-06,2023,2,February,Q1
403,2023-02-07,2023,2,February,Q1
404,2023-02-08,2023,2,February,Q1
405,2023-02-09,2023,2,February,Q1
406,2023-02-10,2023,2,February,Q1
407,2023-02-11,2023,2,February,Q1
408,2023-02-12,2023,2,February,Q1
409,2023-02-13,2023,2,February,Q1
410,2023-02-14,2023,2,February,Q1
411,2023-02-15,2023,2,February,Q1
412,2023-02-16,2023,2,February,Q1
413,2023-02-17,2023,2,February,Q1
414,2023-02-18,2023,2,February,Q1
415,2023-02-19,2023,2,February,Q1
416,2023-02-20,2023,2,February,Q1
417,2023-02-21,2023,2,February,Q1
418,2023-02-22,2023,2,February,Q1
419,2023-02-23,2023,2,February,Q1
420,2023-02-24,2023,2,February,Q1
421,2023-02-25,2023,2,February,Q1
422,2023-02-26,2023,2,February,Q1
423,2023-02-27,2023,2,February,Q1
424,2023-02-28,2023,2,February,Q1
425,2023-03-01,2023,3,March,Q1
426,2023-03-02,2023,3,March,Q1
427,2023-03-03,2023,3,March,Q1
428,2023-03-04,2023,3,March,Q1
429,2023-03-05,2023,3,March,Q1
430,2023-03-06,2023,3,March,Q1
431,2023-03-07,2023,3,March,Q1
432,2023-03-08,2023,3,March,Q1
433,2023-03-09,2023,3,March,Q1
434,2023-03-10,2023,3,March,Q1
435,2023-03-11,2023,3,March,Q1
436,2023-03-12,2023,3,March,Q1
437,2023-03-13,2023,3,March,Q1
438,2023-03-14,2023,3,March,Q1
439,2023-03-15,2023,3,March,Q1
440,2023-03-16,2023,3,March,Q1
441,2023-03-17,2023,3,March,Q1
442,2023-03-18,2023,3,March,Q1
443,2023-03-19,2023,3,March,Q1
444,2023-03-20,2023,3,March,Q1
445,2023-03-21,2023,3,March,Q1
446,2023-03-22,2023,3,March,Q1
447,2023-03-23,2023,3,March,Q1
448,2023-03-24,2023,3,March,Q1
449,2023-03-25,2023,3,March,Q1
450,2023-03-26,2023,3,March,Q1
451,2023-03-27,2023,3,March,Q1
452,2023-03-28,2023,3,March,Q1
453,2023-03-29,2023,3,March,Q1
454,2023-03-30,2023,3,March,Q1
455,2023-03-31,2023,3,March,Q1
456,2023-04-01,2023,4,April,Q2
457,2023-04-02,2023,4,April,Q2
458,2023-04-03,2023,4,April,Q2
459,2023-04-04,2023,4,April,Q2
460,2023-04-05,2023,4,April,Q2
461,2023-04-06,2023,4,April,Q2
462,2023-04-07,2023,4,April,Q2
463,2023-04-08,2023,4,April,Q2
464,2023-04-09,2023,4,April,Q2
465,2023-04-10,2023,4,April,Q2
466,2023-04-11,2023,4,April,Q2
467,2023-04-12,2023,4,April,Q2
468,2023-04-13,2023,4,April,Q2
469,2023-04-14,2023,4,April,Q2
470,2023-04-15,2023,4,April,Q2
471,2023-04-16,2023,4,April,Q2
472,2023-04-17,2023,4,April,Q2
473,2023-04-18,2023,4,April,Q2
474,2023-04-19,2023,4,April,Q2
475,2023-04-20,2023,4,April,Q2
476,2023-04-21,2023,4,April,Q2
477,2023-04-22,2023,4,April,Q2
478,2023-04-23,2023,4,April,Q2
479,2023-04-24,2023,4,April,Q2
480,2023-04-25,2023,4,April,Q2
481,2023-04-26,2023,4,April,Q2
482,2023-04-27,2023,4,April,Q2
483,2023-04-28,2023,4,April,Q2
484,2023-04-29,2023,4,April,Q2
485,2023-04-30,2023,4,April,Q2
486,2023-05-01,2023,5,May,Q2
487,2023-05-02,2023,5,May,Q2
488,2023-05-03,2023,5,May,Q2
489,2023-05-04,2023,5,May,Q2
490,2023-05-05,2023,5,May,Q2
491,2023-05-06,2023,5,May,Q2
492,2023-05-07,2023,5,May,Q2
493,2023-05-08,2023,5,May,Q2
494,2023-05-09,2023,5,May,Q2
